"매출월","요일","점포","성별","구매건수"
1,"월","a","남",21451
1,"화","b","여",24922
1,"수","c","남",8835
1,"목","d","여",13720
1,"금","e","남",10826
1,"토","f","여",43319
1,"일","g","남",2471
1,"월","h","여",10457
1,"화","i","남",17081
1,"수","j","여",18583
1,"목","k","남",6833
1,"금","l","여",33803
1,"토","m","남",2265
1,"일","n","여",32637
1,"월","o","남",49704
1,"화","a","여",33882
1,"수","b","남",45928
1,"목","c","여",23123
1,"금","d","남",28571
1,"토","e","여",22597
1,"일","f","남",8386
1,"월","g","여",3414
1,"화","h","남",44846
1,"수","i","여",13692
1,"목","j","남",46510
1,"금","k","여",27044
1,"토","l","남",34966
1,"일","m","여",41706
1,"월","n","남",615
1,"화","o","여",48015
1,"수","a","남",34036
1,"목","b","여",4238
1,"금","c","남",48480
1,"토","d","여",5802
1,"일","e","남",43844
1,"월","f","여",19384
1,"화","g","남",45484
1,"수","h","여",37483
1,"목","i","남",43539
1,"금","j","여",28638
1,"토","k","남",45173
1,"일","l","여",10102
1,"월","m","남",34339
1,"화","n","여",20495
1,"수","o","남",47135
1,"목","a","여",29043
1,"금","b","남",31131
1,"토","c","여",43904
1,"일","d","남",4965
1,"월","e","여",47399
1,"화","f","남",26026
1,"수","g","여",38362
1,"목","h","남",24443
1,"금","i","여",5040
1,"토","j","남",25888
1,"일","k","여",29762
1,"월","l","남",10173
1,"화","m","여",15292
1,"수","n","남",4994
1,"목","o","여",16475
1,"금","a","남",14966
1,"토","b","여",44489
1,"일","c","남",18771
1,"월","d","여",28937
1,"화","e","남",968
1,"수","f","여",28291
1,"목","g","남",6602
1,"금","h","여",15597
1,"토","i","남",11761
1,"일","j","여",31595
1,"월","k","남",24756
1,"화","l","여",31125
1,"수","m","남",27378
1,"목","n","여",45128
1,"금","o","남",35014
1,"토","a","여",2688
1,"일","b","남",37785
1,"월","c","여",7739
1,"화","d","남",6434
1,"수","e","여",5586
1,"목","f","남",11716
1,"금","g","여",45612
1,"토","h","남",39079
1,"일","i","여",27680
1,"월","j","남",8887
1,"화","k","여",48797
1,"수","l","남",34085
1,"목","m","여",36176
1,"금","n","남",40872
1,"토","o","여",1110
1,"일","a","남",24912
1,"월","b","여",34171
1,"화","c","남",9009
1,"수","d","여",42099
1,"목","e","남",38929
1,"금","f","여",29915
1,"토","g","남",36321
1,"일","h","여",23637
1,"월","i","남",32676
1,"화","j","여",26902
1,"수","k","남",34603
1,"목","l","여",46788
1,"금","m","남",48069
1,"토","n","여",30897
1,"일","o","남",22255
1,"월","a","여",21576
1,"화","b","남",14873
1,"수","c","여",18879
1,"목","d","남",13247
1,"금","e","여",41642
1,"토","f","남",44913
1,"일","g","여",4713
1,"월","h","남",8862
1,"화","i","여",48126
1,"수","j","남",7032
1,"목","k","여",17387
1,"금","l","남",17068
1,"토","m","여",49388
1,"일","n","남",2497
1,"월","o","여",31125
1,"화","a","남",30295
1,"수","b","여",6772
1,"목","c","남",47557
1,"금","d","여",35214
1,"토","e","남",3084
1,"일","f","여",1551
1,"월","g","남",18722
1,"화","h","여",7891
1,"수","i","남",7102
1,"목","j","여",1923
1,"금","k","남",2313
1,"토","l","여",40007
1,"일","m","남",21842
1,"월","n","여",44965
1,"화","o","남",21909
1,"수","a","여",25963
1,"목","b","남",13485
1,"금","c","여",24911
1,"토","d","남",20916
1,"일","e","여",26140
1,"월","f","남",22751
1,"화","g","여",49026
1,"수","h","남",49078
1,"목","i","여",36204
1,"금","j","남",45857
1,"토","k","여",44727
1,"일","l","남",27041
1,"월","m","여",12022
1,"화","n","남",45218
1,"수","o","여",16816
1,"목","a","남",33314
1,"금","b","여",35259
1,"토","c","남",40628
1,"일","d","여",427
1,"월","e","남",30519
1,"화","f","여",38392
1,"수","g","남",9727
1,"목","h","여",49867
1,"금","i","남",6349
1,"토","j","여",49759
1,"일","k","남",14961
1,"월","l","여",48067
1,"화","m","남",9124
1,"수","n","여",13129
1,"목","o","남",33258
1,"금","a","여",12583
1,"토","b","남",17265
1,"일","c","여",24909
1,"월","d","남",2532
1,"화","e","여",1003
1,"수","f","남",45460
1,"목","g","여",32002
1,"금","h","남",33743
1,"토","i","여",31491
1,"일","j","남",21587
1,"월","k","여",6856
1,"화","l","남",8479
1,"수","m","여",35417
1,"목","n","남",47748
1,"금","o","여",5912
1,"토","a","남",4463
1,"일","b","여",2182
1,"월","c","남",24115
1,"화","d","여",29442
1,"수","e","남",35052
1,"목","f","여",10705
1,"금","g","남",664
1,"토","h","여",12572
1,"일","i","남",1546
1,"월","j","여",12562
1,"화","k","남",5916
1,"수","l","여",5449
1,"목","m","남",18923
1,"금","n","여",40257
1,"토","o","남",30649
1,"일","a","여",5861
1,"월","b","남",7986
1,"화","c","여",16343
1,"수","d","남",11366
1,"목","e","여",24001
1,"금","f","남",24465
1,"토","g","여",43526
1,"일","h","남",28661
1,"월","i","여",10578
1,"화","j","남",15572
1,"수","k","여",37408
1,"목","l","남",21059
1,"금","m","여",33323
1,"토","n","남",22226
1,"일","o","여",1714
2,"월","a","남",43421
2,"화","b","여",13416
2,"수","c","남",24219
2,"목","d","여",20317
2,"금","e","남",49710
2,"토","f","여",28197
2,"일","g","남",46259
2,"월","h","여",16489
2,"화","i","남",42968
2,"수","j","여",8650
2,"목","k","남",21509
2,"금","l","여",6669
2,"토","m","남",33150
2,"일","n","여",42604
2,"월","o","남",18513
2,"화","a","여",9545
2,"수","b","남",22528
2,"목","c","여",14485
2,"금","d","남",33005
2,"토","e","여",25439
2,"일","f","남",32303
2,"월","g","여",21620
2,"화","h","남",11165
2,"수","i","여",34827
2,"목","j","남",19305
2,"금","k","여",40047
2,"토","l","남",35018
2,"일","m","여",39350
2,"월","n","남",42490
2,"화","o","여",17928
2,"수","a","남",3312
2,"목","b","여",45917
2,"금","c","남",32887
2,"토","d","여",10742
2,"일","e","남",35014
2,"월","f","여",11455
2,"화","g","남",43173
2,"수","h","여",21697
2,"목","i","남",659
